"","site_no","station_nm","huc_cd","site_tp_cd","dec_lat_va","dec_long_va","parm_cd_D","data_type_cd_D","stat_cd_D","srs_id_D","begin_date_D","end_date_D","count_nu_D","parm_cd_N","data_type_cd_N","stat_cd_N","srs_id_N","begin_date_N","end_date_N","count_nu_N","parm_cd_P","data_type_cd_P","stat_cd_P","srs_id_P","begin_date_P","end_date_P","count_nu_P"
"86","06872500","NF SOLOMON R AT PORTIS, KS","10260012","ST",39.55501079,-98.6922942,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1977-11-01,1992-10-21,84,"00665","qw",NA,153049,1971-11-09,1996-12-10,151
"87","06874000","SF SOLOMON R AT OSBORNE, KS","10260014","ST",39.42778826,-98.6942395,"00060","dv","00003",1645423,1946-03-28,2019-10-30,26880,"00600","qw",NA,52450988,1977-11-02,1994-08-24,95,"00665","qw",NA,153049,1971-10-12,1994-08-24,148
"88","06874000","SF SOLOMON R AT OSBORNE, KS","10260014","ST",39.42778826,-98.6942395,"00060","qw",NA,1645423,1958-03-30,1972-09-19,144,"00600","qw",NA,52450988,1977-11-02,1994-08-24,95,"00665","qw",NA,153049,1971-10-12,1994-08-24,148
"89","06874000","SF SOLOMON R AT OSBORNE, KS","10260014","ST",39.42778826,-98.6942395,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1977-11-02,1994-08-24,95,"00665","qw",NA,153049,1971-10-12,1994-08-24,148
"90","06879650","KINGS C NR MANHATTAN, KS","10270101","ST",39.102075,-96.5946889,"00060","dv","00003",1645423,1979-04-01,2019-10-30,14823,"00600","qw",NA,52450988,1981-06-04,1996-05-28,73,"00665","qw",NA,153049,1980-04-04,1996-05-28,76
"91","06879650","KINGS C NR MANHATTAN, KS","10270101","ST",39.102075,-96.5946889,"00060","uv",NA,1645423,1979-04-11,2019-10-31,14813,"00600","qw",NA,52450988,1981-06-04,1996-05-28,73,"00665","qw",NA,153049,1980-04-04,1996-05-28,76
"92","06887500","KANSAS R AT WAMEGO, KS","10270102","ST",39.19833014,-96.3055532,"00060","dv","00003",1645423,1919-01-23,2019-10-30,36806,"00600","qw",NA,52450988,1988-11-16,2019-09-23,148,"00665","qw",NA,153049,1971-10-18,2019-09-23,195
"93","06887500","KANSAS R AT WAMEGO, KS","10270102","ST",39.19833014,-96.3055532,"00060","qw",NA,1645423,1956-08-10,1972-09-18,554,"00600","qw",NA,52450988,1988-11-16,2019-09-23,148,"00665","qw",NA,153049,1971-10-18,2019-09-23,195
"94","06887500","KANSAS R AT WAMEGO, KS","10270102","ST",39.19833014,-96.3055532,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1988-11-16,2019-09-23,148,"00665","qw",NA,153049,1971-10-18,2019-09-23,195
"95","06889000","KANSAS R AT TOPEKA, KS","10270102","ST",39.0666666,-95.6497028,"00060","dv","00003",1645423,1917-06-12,2019-10-30,37327,"00600","qw",NA,52450988,1987-05-12,2005-07-26,84,"00665","qw",NA,153049,1969-07-22,2005-07-26,128
"96","06889000","KANSAS R AT TOPEKA, KS","10270102","ST",39.0666666,-95.6497028,"00060","qw",NA,1645423,1953-03-20,1983-03-01,141,"00600","qw",NA,52450988,1987-05-12,2005-07-26,84,"00665","qw",NA,153049,1969-07-22,2005-07-26,128
